segment_index,start_lat,start_lon,end_lat,end_lon,distance_m,elev_delta_m,grade_pct,recommended_speed_mph,zone,zone_color,start_m,end_m
49,39.068191,-79.348566,39.068379,-79.349303,66.97228349291645,0.12000000000011823,0.17917860007388048,2.8177609528151475,steady,#fdae61,4746.869527044805,4813.841810537721
50,39.068379,-79.349303,39.068546,-79.349519,26.316486939981612,1.2200000000000273,4.635877132013881,2.3700110640836,slowdown,#d73027,4813.841810537721,4840.158297477703
51,39.068546,-79.349519,39.068651,-79.349932,37.517593300967626,2.0599999999999454,5.4907573187718715,2.280782172565887,slowdown,#d73027,4840.158297477703,4877.675890778671
52,39.068651,-79.349932,39.068867,-79.350543,57.958809403343565,2.6399999999998727,4.554958991009872,2.3784012379497037,slowdown,#d73027,4877.675890778671,4935.634700182014
53,39.068867,-79.350543,39.069153,-79.350731,35.703886651873674,2.650000000000091,7.422161138473768,2.075229557013055,slowdown,#d73027,4935.634700182014,4971.338586833887
54,39.069153,-79.350731,39.069578,-79.351207,62.62540513511605,1.9500000000000455,3.1137523115305465,2.5262213918382623,slowdown,#d73027,4971.338586833887,5033.9639919690035
55,39.069578,-79.351207,39.07015,-79.35242,122.51998433747755,1.0499999999999545,0.8570030478519828,2.75154728564054,steady,#fdae61,5033.9639919690035,5156.483976306481
56,39.07015,-79.35242,39.070687,-79.353417,104.75431191339923,0.14000000000010004,0.13364604992664983,2.8221845856649344,steady,#fdae61,5156.483976306481,5261.23828821988
57,39.070687,-79.353417,39.070708,-79.353812,34.17952781290971,-0.21000000000003638,-0.6144028704829525,2.8426517474867397,steady,#fdae61,5261.23828821988,5295.417816032789
58,39.070708,-79.353812,39.070778,-79.35401,18.7817827066352,0.1799999999998363,0.9583754791085201,2.7415865280836944,steady,#fdae61,5295.417816032789,5314.199598739425
59,39.070778,-79.35401,39.070722,-79.354271,23.3762774136753,0.5600000000001728,2.395591009167989,2.598739667323351,steady,#fdae61,5314.199598739425,5337.5758761531
60,39.070722,-79.354271,39.070966,-79.354801,53.193423375464214,0.8099999999999454,1.5227446338292316,2.6858556349939287,steady,#fdae61,5337.5758761531,5390.769299528564
61,39.070966,-79.354801,39.071029,-79.355394,51.66953619151136,0.8199999999999363,1.5870086330185633,2.6794798967307254,steady,#fdae61,5390.769299528564,5442.438835720076
62,39.071029,-79.355394,39.071231,-79.355672,32.87051638691139,0.6600000000000819,2.0078784045597935,2.637574436848248,steady,#fdae61,5442.438835720076,5475.309352106988
63,39.071231,-79.355672,39.071406,-79.356642,85.9689369513849,0.849999999999909,0.9887292202770644,2.7386010559783527,steady,#fdae61,5475.309352106988,5561.278289058373
64,39.071406,-79.356642,39.071524,-79.358017,119.42308032866914,1.150000000000091,0.9629629355021901,2.7411354112856565,steady,#fdae61,5561.278289058373,5680.701369387042
65,39.071524,-79.358017,39.071608,-79.358654,55.778047833997746,0.7400000000000091,1.3266868037446184,2.7052692957398503,steady,#fdae61,5680.701369387042,5736.4794172210395
66,39.071608,-79.358654,39.071552,-79.359427,67.02082272910216,-0.15000000000009095,-0.22381103945320133,2.8379477311265875,steady,#fdae61,5736.4794172210395,5803.500239950142
67,39.071552,-79.359427,39.071789,-79.360478,94.47953170785252,-0.6699999999998454,-0.7091483074573277,2.843758952997587,steady,#fdae61,5803.500239950142,5897.979771657994
68,39.071789,-79.360478,39.071622,-79.361358,78.20444208134867,-0.42000000000007276,-0.5370538921090782,2.841738042102704,steady,#fdae61,5897.979771657994,5976.184213739343
69,39.071622,-79.361358,39.071789,-79.362113,67.77063508470883,0.13999999999987267,0.20657914718503362,2.8150974312677355,steady,#fdae61,5976.184213739343,6043.9548488240525
70,39.071789,-79.362113,39.072138,-79.363011,86.69229116171825,0.2599999999999909,0.2999113260427961,2.8060166087262295,steady,#fdae61,6043.9548488240525,6130.647139985771
71,39.072138,-79.363011,39.072054,-79.363954,81.94004910104287,-0.209999999999809,-0.25628493307448635,2.838347383109592,steady,#fdae61,6130.647139985771,6212.587189086814
72,39.072054,-79.363954,39.071692,-79.364377,54.34800456181049,-0.7300000000000182,-1.3431955890299199,2.8508284133354573,steady,#fdae61,6212.587189086814,6266.935193648625
73,39.071692,-79.364377,39.071336,-79.364664,46.69957240581805,-1.2000000000000455,-2.5696166756562078,2.862823401683788,steady,#fdae61,6266.935193648625,6313.6347660544425
74,39.071336,-79.364664,39.069809,-79.365527,185.42030101010474,-1.490000000000009,-0.8035797546886787,2.844849341575225,steady,#fdae61,6313.6347660544425,6499.055067064547
75,39.069809,-79.365527,39.068239,-79.366344,188.28578626248418,-1.4300000000000637,-0.7594837764368144,2.8443418041723754,steady,#fdae61,6499.055067064547,6687.340853327031
76,39.068239,-79.366344,39.067312,-79.366218,103.65007689365943,-1.5599999999999454,-1.5050640064651752,2.852538385449604,steady,#fdae61,6687.340853327031,6790.990930220691
77,39.067312,-79.366218,39.066377,-79.366083,104.61848952444352,-1.4700000000000273,-1.4051053563113909,2.8514869803920764,steady,#fdae61,6790.990930220691,6895.609419745134
78,39.066377,-79.366083,39.065756,-79.366524,78.852769676353,-0.6299999999998818,-0.7989573512581527,2.8447962727654867,steady,#fdae61,6895.609419745134,6974.462189421487
79,39.065756,-79.366524,39.064975,-79.366766,89.32114126234555,-0.15000000000009095,-0.16793336703964096,2.837256418470061,steady,#fdae61,6974.462189421487,7063.783330683833
80,39.064975,-79.366766,39.064738,-79.367674,82.7035966903182,-0.01999999999998181,-0.024182745128813892,2.8354568309625914,steady,#fdae61,7063.783330683833,7146.4869273741515
81,39.064738,-79.367674,39.063587,-79.368123,133.72724706352253,-0.07999999999992724,-0.05982326097083716,2.835905843783181,steady,#fdae61,7146.4869273741515,7280.214174437674
82,39.063587,-79.368123,39.063134,-79.368518,60.83006870762506,-0.43000000000006366,-0.7068872502295285,2.8437326839374673,steady,#fdae61,7280.214174437674,7341.044243145299
83,39.063134,-79.368518,39.062436,-79.368563,77.71124091176218,-0.6300000000001091,-0.8106935272278659,2.8449309518072163,steady,#fdae61,7341.044243145299,7418.755484057062
84,39.062436,-79.368563,39.062088,-79.368841,45.53536883976031,-0.8599999999999,-1.8886417787154723,2.8564365060127956,steady,#fdae61,7418.755484057062,7464.290852896822
85,39.062088,-79.368841,39.061279,-79.369003,91.03758749621045,-0.8099999999999454,-0.8897423825446414,2.845832799000407,steady,#fdae61,7464.290852896822,7555.328440393032
86,39.061279,-79.369003,39.059876,-79.369991,177.8057691832341,-0.9500000000000455,-0.5342908750171331,2.8417052403199023,steady,#fdae61,7555.328440393032,7733.134209576266
87,39.059876,-79.369991,39.059311,-79.371671,158.07515155679738,-1.240000000000009,-0.7844370147919608,2.8446293633660145,steady,#fdae61,7733.134209576266,7891.209361133063
88,39.059311,-79.371671,39.058509,-79.371626,89.26293322578634,-2.4400000000000546,-2.7334974460543333,2.8642585474875473,speed-up,#1a9850,7891.209361133063,7980.4722943588495
89,39.058509,-79.371626,39.057609,-79.372048,106.50235458164809,-3.7899999999999636,-3.5586067696695185,2.8708836679306766,speed-up,#1a9850,7980.4722943588495,8086.974648940498
90,39.057609,-79.372048,39.056528,-79.372264,121.64001774242858,-4.519999999999982,-3.715882391246467,2.872032782694367,speed-up,#1a9850,8086.974648940498,8208.614666682926
91,39.056528,-79.372264,39.055447,-79.372479,121.6268521734004,-4.220000000000027,-3.4696285602982457,2.8702174336290263,speed-up,#1a9850,8208.614666682926,8330.241518856326
92,39.055447,-79.372479,39.054198,-79.371941,146.44593227497367,-2.25,-1.5364032070042721,2.8528649953319616,steady,#fdae61,8330.241518856326,8476.6874511313
93,39.054198,-79.371941,39.053382,-79.372497,102.65385058269284,-1.75,-1.7047582629063553,2.854594809599769,steady,#fdae61,8476.6874511313,8579.341301713992
94,39.053382,-79.372497,39.052343,-79.373081,126.05777601111947,0.09999999999990905,0.07932870399925834,2.827457697903696,steady,#fdae61,8579.341301713992,8705.399077725111
95,39.052343,-79.373081,39.052273,-79.374546,126.74310654875136,3.1400000000001,2.4774522934644247,2.590511838879118,slowdown,#d73027,8705.399077725111,8832.142184273862
96,39.052273,-79.374546,39.051373,-79.375489,129.0187142491519,4.230000000000018,3.2785941362206867,2.509468918493742,slowdown,#d73027,8832.142184273862,8961.160898523014
97,39.051373,-79.375489,39.050327,-79.376755,159.62256281429,5.149999999999864,3.226360928681203,2.514781581147152,slowdown,#d73027,8961.160898523014,9120.783461337303
